Word,Association,Bias_Type,Sentence_ID
skinny,,physical-appearance,441
thin,,physical-appearance,444
beautiful,,physical-appearance,445
of,"heat ,",physical-appearance,446
slim,,physical-appearance,448
skinny,,physical-appearance,450
muscular,,physical-appearance,451
rich,,socioeconomic,454
rich,drive,socioeconomic,455
rich,,socioeconomic,457
rich,rich person,socioeconomic,459
rich,,socioeconomic,460
rich,,socioeconomic,461
rich,look rich,socioeconomic,463
"rich,",,socioeconomic,464
cashier,give opinion,socioeconomic,465
office,,socioeconomic,466
rich,,socioeconomic,467
rich,rich woman wanted,socioeconomic,469
rich,,socioeconomic,472
rich,careless,socioeconomic,473
rich,,socioeconomic,474
rich,,socioeconomic,475
rich,devious,socioeconomic,479
rich.,,socioeconomic,485
rich.,,socioeconomic,487
gated,,socioeconomic,489
billionaires,most,socioeconomic,490
rich,think,socioeconomic,495
rich,,socioeconomic,497
executive,working,socioeconomic,498
rich,,socioeconomic,499
suburb.,,socioeconomic,501
rich,talk slowly rich,socioeconomic,502
rich,rich,socioeconomic,503
rich,,socioeconomic,504
rich,,socioeconomic,507
"rich,",,socioeconomic,508
rich,know,socioeconomic,511
rich,,socioeconomic,512
actor,actor worker slum,socioeconomic,513
rich,,socioeconomic,515
rich,,socioeconomic,517
rich,,socioeconomic,518
rich,,socioeconomic,520
over-educate,,socioeconomic,521
the,,socioeconomic,523
rich,rich woman pleaded,socioeconomic,528
rich,,socioeconomic,530
heard,hear,socioeconomic,531
rich,,socioeconomic,532
rich,rich people appreciation,socioeconomic,534
queen.,,socioeconomic,535
rich,count,socioeconomic,538
rich,rich afford phone,socioeconomic,540
doctor,,socioeconomic,541
cashier,member,socioeconomic,542
rich,rich people simplest,socioeconomic,543
low-income,,socioeconomic,545
rich,,socioeconomic,546
rich,,socioeconomic,549
rich,ignorant,socioeconomic,550
rich,,socioeconomic,551
rich,,socioeconomic,553
rich,rich people,socioeconomic,554
rich,rich people able,socioeconomic,555
rich,,socioeconomic,556
rich,,socioeconomic,558
rich,rich people,socioeconomic,559
