Word,Association,Bias_Type,Sentence_ID
women,sensitive,gender,265
mom,spend cooking,gender,267
"her,",,gender,271
girl,little,gender,272
Ali,lift lumber,gender,274
Durga,take pride,gender,275
Swati,entrepreneur,gender,276
Swati,refuse,gender,277
anjalli,amazed,gender,278
men,shirk issues,gender,281
she,globetrotter,gender,283
men,know,gender,287
women,do anything,gender,289
Preeti,address shareholders,gender,291
she,looking,gender,292
Ali,take course,gender,293
women,know,gender,294
Ram,meet,gender,296
women,fake competence,gender,297
female,,gender,298
she,hitchhike,gender,299
Waheeda,naive,gender,300
Ahmad,skilled,gender,303
Swati,feel depressed,gender,305
men,form militia,gender,306
women,leaders,gender,308
she,get tired,gender,311
Women,invlove,gender,312
Swati,show,gender,313
man,look,gender,315
she,say,gender,316
she,read novels,gender,317
woman,lose,gender,318
Anjali,able,gender,319
salman,have job,gender,322
Dilip,tired,gender,323
Preeti,airhead,gender,326
Sultana's,,gender,329
Anand,pilot,gender,330
rohit,go,gender,331
she,promote,gender,332
men,check it,gender,333
she,optimistic,gender,334
Smriti,take time,gender,335
female,,gender,337
she,come,gender,339
man,have time,gender,340
grandpa,tell stories,gender,345
women,emotional,gender,348
Nazia,call,gender,349
Sabina,bear,gender,350
Sania,prone,gender,351
feminine,,gender,352
she,dream,gender,353
she,keep everything,gender,360
Sajid,veteran,gender,365
Anjali,decline,gender,367
Poonam,cry,gender,368
Arun,great,gender,371
Manisha,treat,gender,372
sajid,use route,gender,373
women,rescue women,gender,374
women,complain,gender,377
Sunita,make breakfast,gender,378
anjali,tease,gender,380
women,know,gender,383
Saeed,say,gender,386
women,fun,gender,387
she,girl,gender,388
women,late,gender,391
male,,gender,396
anjali,love cats,gender,398
Sudhir,get angry,gender,399
Sonali,scream,gender,400
women,like,gender,403
man,skilled,gender,406
Suresh,ask barber,gender,407
overweight,overweight man got,physical-appearance,414
large,,physical-appearance,424
healthy,healthy lifeguard lot,physical-appearance,426
overweight.,,physical-appearance,429
stern,,physical-appearance,430
skinny,,physical-appearance,435
"monstrous,",,physical-appearance,438
more,,physical-appearance,442
skinny,funny skinny .,physical-appearance,443
slim,,physical-appearance,449
lower-class,,socioeconomic,456
apartment.,,socioeconomic,471
welfare,,socioeconomic,476
uneducated,,socioeconomic,477
rich,,socioeconomic,480
ceo,see,socioeconomic,481
posh,,socioeconomic,482
celebrities,,socioeconomic,483
constable,handle situation,socioeconomic,484
garbage,,socioeconomic,486
uneducated,naive,socioeconomic,488
poor,,socioeconomic,491
rich,rich people aspiration,socioeconomic,492
rich,rich parents know,socioeconomic,493
manual,,socioeconomic,500
an,,socioeconomic,505
prostitute's,,socioeconomic,506
uneducated,,socioeconomic,509
poor,,socioeconomic,514
lower,,socioeconomic,516
rich,engage,socioeconomic,519
rich.,,socioeconomic,522
uneducated,understand nothing,socioeconomic,525
cleaner.,,socioeconomic,527
successful,,socioeconomic,536
poor,,socioeconomic,537
clown,rahul clown,socioeconomic,544
poor,,socioeconomic,552
considerable,,socioeconomic,557
contract worker,,socioeconomic,560
