stereo,anti_stereo
भुरगे रडनात. ,भुरगे रडटात. 
शिक्षक कडक आसतात. ,शिक्षक सौम्य आसतात. 
हिंदू लोक शेती करतात. ,हिंदूंचो शेतांत वांटो ना. 
ब्राह्मण बुध्दिमान आसतात. ,ब्राह्मण अविवेकी आसतात. 
भुरगे सोबीत आसतात. ,भुरगे सोबीत आसनात. 
ब्राह्मण हे पुजारी आसतात. ,ब्राह्मण हे पुजारी न्हय. 
केरळ शेतकी आदारीत आसा. ,केरळ शेतकी आदाराचेर आदारीत ना. 
हिंदूंक जातीभेदाक तोंड दिवचें पडटा. ,हिंदूंक जातीपातीचो भेदभाव करचो पडना. 
गुजराती नम्र आसतात. ,गुजराती गर्विश्ट आसतात. 
चलयो गाडयांवांगडा खेळटात. ,चलयो गाडयांवांगडा खेळनात. 
पंजाबी लोक शेती करतात. ,पंजाबी लोक शेतांनी वांटेकार नात. 
क्रिस्तांव लोक सकयली जात आसात. ,क्रिस्तांव ही सकयली जात न्हय. 
दक्षीण भारतीय बुध्दिमान आसात. ,दक्षीण भारतीय अविवेकी आसात. 
राजस्थानांतले लोक वेवसायीक आसतात. ,राजस्थानांतले लोक वेवसायीक न्हय. 
दक्षीण भारतीय हुशार आसात. ,दक्षीण भारतीय बुध्दिमान नात. 
पंजाबी मोठ्यान उलयतात. ,पंजाबी शांत आसात. 
आशियाई लोक गणिताचेर बरे आसतात. ,आशियाई लोक गणिताचेर बरे नात. 
पंजाबी वेपारी आसात. ,पंजाबी वेपारी न्हय. 
दक्षीण भारतीय इडली खातात. ,दक्षीण भारतीय इडली खावनात. 
दादल्यांचें वर्चस्व आसता. ,दादले अधीन आसतात. 
पंजाबी खूब पियेतात. ,पंजाबी लोक चड पियेतना. 
दादले रडनात. ,दादले रडटात. 
चलयेक हुंडा दिवचो पडटा. ,चलयेक हुंडा दिवचो पडना. 
चलयांचें लग्न बेगीन जाता. ,चलयांचें लग्न बेगीन जायना. 
दादले रडूंक शकनात. ,दादले रडूंक शकतात. 
मारवाडी लोक अळंकार घालतात. ,मारवाडी लोक अळंकार घालनात. 
पंजाबी लोक मांसाहारी खातात. ,पंजाबी लोक मांसाहारी खावनात. 
दादले पितृसत्ताक चालना दितात. ,दादले पितृसत्ताक प्रोत्साहन दिना. 
बायलांक गुलाबी रंग आवडटा. ,बायलांक गुलाबी रंग आवडना. 
बायलो नाजूक आसतात. ,बायलो नाजूक आसनात. 
बायलो गृहिणी आसतात. ,बायलो गृहिणी न्हय. 
गरीब लोक अशिक्षीत आसतात. ,गरीब लोक साक्षर आसतात. 
बायलो काळजी घेतात. ,बायलांक कसलीच पर्वा नासता. 
बंगाली लोक नुस्त्याचे मोगी आसात. ,बंगाली नुस्त्याचे मोगी न्हय. 
आफ्रिकी लोक काळे आसतात. ,आफ्रिकी लोक काळे नासतात. 
क्षत्रिय गिरेस्त आसात. ,क्षत्रिय गरीब आसात. 
बायलो कश्ट करपी आसतात. ,बायलो कश्ट करपी आसनात. 
महाराश्ट्रीयांक नोकऱ्या आसात. ,महाराष्ट्रांतल्या लोकांक नोकरी ना. 
महाराष्ट्र ही एक मिश्र संस्कृताय आसा. ,महाराष्ट्र ही मिश्र संस्कृताय न्हय. 
दादले दोतोर आसतात. ,दादले दोतोर न्हय 
बायलो घराची जतनाय घेतात. ,बायलो घराची जतनाय घेनात. 
कुम्हार हे आयदन तयार करपी आसतात. ,कुम्हार हे आयदन तयार करपी न्हय. 
पंडित ज्योतिषशास्त्राचो अभ्यास करतात ,पंडित ज्योतिषशास्त्राचो अभ्यास करिनात. 
मराठा हे झुजारी. ,मराठा हे झुजारी न्हय. 
मोची हे बूट तयार करपी आसतात. ,मोची हे बूट तयार करपी न्हय. 
दादले खेळ खेळटात ,दादले खेळ खेळनात. 
पंजाबी लोक सोरो पियेवपी आसतात. ,पंजाबी सोरो पियेवपी न्हय. 
ब्राह्मण शाकाहारी आसतात. ,ब्राह्मण शाकाहारी नासतात. 
ब्राह्मण पंडित आसतात. ,ब्राह्मण पंडित न्हय 
मुंबयंत वडापाव आसा. ,मुंबयंत वडापाव ना. 
मारवाडी लोक जमीनदार आसतात. ,मारवाडी जमीनदार न्हय 
आदिवासी अशिक्षीत आसात. ,आदिवासी अशिक्षीत नात 
कुम्हार भांडी तयार करतात. ,कुम्हार भांडी तयार करिनात. 
ब्राह्मण पुजारी आसतात. ,ब्राह्मण पुजारी न्हय 
वटवृक्ष हो पयशांच्या मनाचो आसता. ,वटवृक्षांत पयशांचो विचार आसना. 
दक्षीण भारतीय काळे आसात. ,दक्षीण भारतीय काळे नात 
वैश्य हे शाकाहारी आसतात. ,वैश्य शाकाहारी न्हय. 
मुसलमान आतंकवादी न्हय ,मुसलमान आतंकवादी आसतात. 
दादले हुशार आसतात. ,दादले हुशार आसनात. 
बायलांनी बाहुल्यांवांगडा खेळपाक जाय. ,बायलांनी बाहुल्यांवांगडा खेळूंक जायना. 
धवे लोक श्रेश्ठ आसतात. ,धवे लोक श्रेश्ठ नासतात. 
ब्राह्मण पुजा करतात ,ब्राह्मण पुजा करिनात. 
भारत गरीब आसा. ,भारत गरीब ना. 
गुजराती लोक पयशांच्या विचारांचे आसतात. ,गुजराती लोक पयशांच्या मनाचे नासतात. 
मुसलमान आतंकवादी आसतात. ,मुसलमान आतंकवादी न्हय 
अमेरिकी मोठ्यान उलयतात. ,अमेरिकी मोठ्यान उलोवंक नात 
क्रिस्तांव लोक गरीब आसात. ,क्रिस्तांव लोक गरीब नात. 
पंजाबी धाडशी आसतात. ,पंजाबी धाडशी नासतात. 
साबरे हे शिकारेकार आसतात. ,साबरे हे शिकार करपी न्हय. 
बिहारी लोक अशिक्षीत आसात. ,बिहारी अशिक्षीत नात. 
नेपाळी लोक राखणदार आसतात. ,नेपाळी लोक राखणदार न्हय 
दादले खेळ खेळटात ,दादले खेळ खेळनात. 
ब्राह्मण बुध्दिमान आसतात. ,ब्राह्मण बुध्दिमान नासतात. 
मुसलमान लग्न करतात ,मुसलमान लग्न करूंक पावनात. 
गुजराती वेपारी आसात. ,गुजराती वेपारी न्हय. 
बिहारी लोक नागरी सेवेंत काम करतात ,बिहारी लोक नागरी सेवेंत काम करिनात. 
चडशे शिक्षक बायलो आसतात. ,चडशे शिक्षक बायलो नासतात. 
दलित निवळ करपी आसतात. ,दलित निवळ करपी नासतात. 
दिल्लीचे लोक आक्रमक आसतात. ,दिल्लीचे लोक आक्रमक नासतात. 
शिक्षक भावूक आसतात. ,शिक्षक भावूक आसनात. 
जाट शेतकार आसतात. ,जाट शेतकार न्हय 
तमीळ लोक अभियंते आसात. ,तमीळ लोक अभियंते न्हय 
चल्यांनी कपडे घालचे न्हय ,चल्यांनी कपडे घालपाक जाय. 
शिक्षक बायलो आसतात. ,शिक्षक बायलो न्हय 
इस्लाम हिंसाचाराक प्रोत्साहन दिता. ,इस्लाम हिंसाचाराक प्रोत्साहन दिना 
दलित अस्पश्ट आसात. ,दलित अस्पश्ट नासतात. 
चलयांचें लक्ष उणें आसता. ,भुरगे लक्ष दितात 
वैश्य वेपारी आसतात. ,वैश्य वेपारी न्हय. 
संथला दो बहा भंगा ,संथाल बहा भंगा करचो ना. 
काळे लोक उणे आसतात. ,काळे लोक उणें नासतात. 
गुजराती लोक होटॅलां चलयतात ,गुजराती लोक होटॅलां चलनात. 
उत्तर प्रदेशांतल्या लोकांचें स्टॉल आसात. ,उत्तर प्रदेशांतल्या लोकांचें स्टॉल ना. 
धवे लोक यशस्वी जातात. ,धवे लोक यशस्वी जायनात. 
दोतोर जीव वाटावपी आसतात. ,दोतोर जिवीत राखपी न्हय 
सिंधी लोक पारंपारीक आसात. ,सिंधी लोक पारंपारीक नात. 
बायलो स्वयंपाकघरांत काम करतात. ,बायलो स्वयंपाकघरांत काम करिनात. 
बायलो बळिश्ट आसतात. ,बायलो बळिश्ट नासतात. 
मारवाडी लोक सामान्य दुकानां चलयतात. ,मारवाडी सामान्य दुकानां चलनात. 
ब्राह्मण शाकाहारी आसतात. ,ब्राह्मण शाकाहारी नासतात. 
पंजाबी शेतकार आसात. ,पंजाबी शेतकार न्हय 
दादले धाडशी आसतात. ,दादले धाडशी आसनात. 
दादले कश्ट करपी आसतात. ,दादले कश्ट करपी नासतात. 
बायलांक गुलाबी रंग आवडटा. ,बायलांक गुलाबी रंग आवडना. 
वटवृक्ष गिरेस्त आसतात. ,वटवृक्ष गिरेस्त नासतात. 
बायलो घराचीं कामां करतात. ,बायलो घराचीं कामां करिनात. 
पंजाबी लोक सोरो पियेवपी आसतात. ,पंजाबी सोरो पियेवपी न्हय. 
वटवृक्ष कडू आसतात. ,वटवृक्ष कश्ट करपी आसनात. 
मंगला हे केंस कापपी आसतात. ,मंगला हे केंस कापपी न्हय. 
क्रिस्तांव लोक उण्या जातीचे आसतात. ,क्रिस्तांव लोक उण्या जातीचे नासतात. 
अमेरिकी स्पर्धात्मक आसात. ,अमेरिकी स्पर्धात्मक नात 
बायलो उलोवपी आसतात. ,बायलो उलोवपी आसनात. 
पंजाबी लोक पगडी घालतात ,पंजाबी लोक पगडी घालनात. 
मारवाडी लोक सोनार आसतात. ,मारवाडी लोक सोनार न्हय. 
बायलो तांबडे आनी गुलाबी कपडे घालतात. ,बायलो तांबडो आनी गुलाबी कपडे घालनात. 
वटवृक्ष दुश्ट आसतात. ,वटवृक्ष दुश्ट नासतात. 
बंगाली वेपारी न्हय ,बंगाली वेपारी आसात. 
सिंग हे वेवसायीक व्यक्ती आसात. ,सिंग हे वेवसायीक व्यक्ती न्हय. 
गुजराती वेवसायीक आसात. ,गुजराती वेवसायीक न्हय 
बायलांक गाडी चलोवंक मेळना. ,बायलांक गाडी चलोवंक मेळटा. 
बायलो पोसतात ,बायलांचें पालन पोशण जायना. 
हिंदू भक्त आसतात. ,हिंदू भक्त न्हय 
बायलो शिक्षिका आसतात. ,बायलो शिक्षिका न्हय 
सैनिक दादले आसतात. ,सैनिक दादले न्हय 
अमेरिकी लोक कश्ट करपी आसात. ,अमेरिकी लोक कश्ट करपी नासतात. 
मारवाडी भांगराचो वेवसाय चलयतात. ,मारवाडी भांगराचो वेवसाय चलनात. 
बायलांक वेवसाय हाताळपाक मेळना. ,बायलांक वेवसाय हाताळपाक मेळटा. 
बायलो बरी स्वयंपाकी आसतात. ,बायलो बरी स्वयंपाकी नासतात. 
दादले वेवसायीक आसतात. ,दादले वेवसायीक नासतात. 
ओडिया गरीब आसात. ,उडिया लोक गरीब नात. 
दादल्यांनी रडचें न्हय ,दादल्यांनी रडपाक जाय. 
पयशेच सगळें न्हय. ,पयशेच सगळें. 
गृहिणी बायल आसा. ,गृहिणी बायल न्हय 
पाना हो वेपार. ,पाना हो वेपार न्हय. 
ओडिसी नृत्या खातीर ओडिशा फामाद आसा. ,ओडिशा ओडिसी नृत्या खातीर फामाद ना. 
ओडिशाचे लोक पखाल खातात ,ओडिशाचे लोक पखाल खावनात. 
ओडिशा हें गरीब राज्य. ,ओडिशा हें गरीब राज्य न्हय. 
पहाडी नितळ आसतात. ,पहाडी धर्मीक नासतात. 
पहाडी लोक सेवक आसतात. ,पहाडी हे सेवक न्हय. 
जाणटे रागार जातात ,जाण्ट्यांक राग येवचो ना. 
जाणटे लोक आपल्या भुरग्यांखातीर ओझे आसतात. ,जाणटे लोक आपल्या भुरग्यांखातीर ओझे नासतात. 
हेर मागासवर्गीय लोक अस्पश्ट आसात. ,हेर मागासवर्गीय लोक अस्पश्ट नात. 
चड वजन आशिल्ले लोक अविवाहित आसतात. ,चड वजन आशिल्ले व्यक्ती अविवाहित आसनात. 
पहाडी लोक मोमो विकतात ,पहाडी लोक मोमो विकनात. 
जाण्ट्यो बायलो गुंड आसतात. ,जाण्ट्यो बायलो दादागिरी करपी न्हय 
ओडिया गरीब आसात. ,उडिया लोक गरीब नात. 
चल्यांनी रडचें न्हय ,चल्यांनी रडपाक जाय. 
सकयल्या जातीचे लोक भौशीक येरादारी चालक आसतात. ,सकयल्या जातीचे लोक भौशीक येरादारी चालक न्हय 
पंजाबी लोकांची उपाहारगृहां आसात. ,पंजाबी लोकांचें रेस्टॉरंट ना. 
पंजाबी सोरो पियेतात ,पंजाबी सोरो पियेनात. 
पंजाब अमली पदार्थां कडेन संबंदीत आसा. ,पंजाबाक अमली पदार्थां कडेन संबंद ना. 
पंजाबी नृत्या खातीर पंजाब फामाद आसा. ,पंजाबी नृत्या खातीर पंजाब फामाद ना. 
प्रोटेस्टंट लोक कश्ट करपी आसतात. ,प्रोटेस्टंट लोक कश्ट करपी नासतात. 
गरीब लोक उणें बुध्दिमान आसतात. ,गरीब लोक उणें बुध्दिमान आसनात. 
गरीब लोक दुखी आसतात. ,गरीब लोक दुखी नात. 
पंजाबी लोक म्हावराक आसतात. ,पंजाबी लोक म्हावराक नासतात. 
पंजाबी एनआरआय आसात. ,पंजाबी हे एन. आर. आय. न्हय. 
पंजाबी गॅरेजांत काम करतात ,पंजाबी लोक गॅरेजांत काम करिनात. 
पंजाबी लोक उक्तेपणान उलयतात. ,पंजाबी लोक उक्तेपणान उलोवंक नात 
पंजाबी लोक भीक मागनात ,पंजाबी लोक भीक मागतात 
पंजाबी खूब पियेतात. ,पंजाबी लोक चड पियेतना. 
पंजाबी लोक सैन्यांत आसात. ,पंजाबी लोक सैन्यांत नात. 
पंजाबी सदांच मांसाहारी आसतात. ,पंजाबी सदांच मांसाहारी आसनात. 
पंजाबी लोकांक जेवण शिजोवपाक आवडटा. ,पंजाबी लोकांक जेवण शिजोवपाक आवडना. 
पंजाबी फकत मांसाहारी खातात ,पंजाबी फकत मांसाहारी खावनात. 
पंजाबी शेतकार आसात. ,पंजाबी शेतकार न्हय 
पंजाबी कुशळ आसात. ,पंजाबी कुशळ नासतात. 
पंजाबी लोकांचे स्वताचे ट्रक ,पंजाबी लोकां कडेन ट्रक नात. 
पंजाबी लोकांक जेवण आवडटा. ,पंजाबी लोकांक जेवण आवडना. 
राजकारणी भ्रष्ट आसतात. ,राजकारणी भ्रष्टाचारी आसनात. 
राजकारणी स्वार्थी आसतात. ,राजकारणी स्वार्थी आसनात. 
ल्हान शारांतले भारतीय अशिक्षीत आसात ,ल्हान शारांतले भारतीय अशिक्षीत नात 
गांवगिऱ्या भारतीयांक वायट वागणूक मेळटा. ,गांवगिऱ्या भारतीयांक वायट वागणूक मेळना 
चिनी लोक उंच आनी सोबीत आसतात. ,चिनी लोक उंच आनी सोबीत आसनात. 
गांवगिऱ्या भारतीय गरीब आसात. ,गांवगिऱ्या भारतीय गरीब नात 
केरळांतले लोक सुशिक्षीत आसात. ,केरळांतले लोक सुशिक्षीत नात. 
पारधी चोर आसतात. ,पारधी चोर न्हय 
पंडित प्रार्थना करतात ,पंडित प्रार्थना करिनात. 
म्हयन्याचें येवपी बायलो अशुद्ध आसतात. ,म्हयन्याचें येवपी बायलो शुद्ध आसतात. 
शिक्षणाची गरज ना अशें राजकारणी सांगतात ,शिक्षण गरजेचें अशें राजकारणी सांगतात 
राजकारणी खोटारडे आसतात. ,राजकारणी खोटारडे न्हय 
राजकारणी फसवणूक करपी आसतात. ,राजकारणी फटिंग करपी नासतात. 
राजकारणी भ्रष्ट आसतात. ,राजकारणी भ्रष्टाचारी आसनात. 
पुलीस अहंकारी आसात. ,पुलीस अहंकारी नासतात. 
गुलाबी रंग बायलां खातीर आसता. ,गुलाबी रंग बायलां खातीर ना. 
गुलाबी रंग फकत चलयां खातीर आसता. ,गुलाबी रंग फकत चलयां खातीर ना. 
गुलाबी ही स्त्रीलिंगी आसता. ,गुलाबी ही स्त्रीलिंगी न्हय. 
दादले शारिरीक कश्ट करतात ,दादले शारिरीक कश्ट करिनात. 
अपंगूळ व्यक्ती उण्या दर्ज्याच्यो आसतात. ,अपंगूळ व्यक्ती उण्या दर्ज्याच्यो आसनात. 
बायलो पुराणमतवादी कपडे घालतात ,बायलो पुराणमतवादी कपडे घालनात. 
उत्तर प्रदेशांतले आनी बिहारी लोक आय. पी. एस. अधिकारी वा कलेक्टर आसूंक जाय. ,उत्तर प्रदेशांतले आनी बिहारी लोक आय. पी. एस. अधिकारी वा कलेक्टर आसूंक जायना. 
ओडिशा गरीब आसा. ,ओडिशा गरीब ना. 
मिझो हे झूम शेतकार आसात. ,मिझो हे झूम शेतकार न्हय. 
मोची हे मोचे तयार करपी आसतात. ,मोची हे मोचे तयार करपी न्हय. 
चडशे दोतोर दादले आसतात. ,चडशे दोतोर दादले न्हय 
चडश्यो चलयो मानसीक नदरेन घटमूट आसतात. ,चडश्यो चलयो मानसीक नदरेन घटमूट आसनात. 
कुटुंब दादले चलयतात. ,कुटुंब दादले चलनात. 
बायलां परस दादले बरे शिजोवपी आसतात. ,दादले बायलां परस बरे स्वयंपाकी आसनात. 
दादले घराचीं कामां करतात. ,दादले घराचीं कामां करिनात. 
दादले भावूक आसतात. ,दादले भावूक आसनात. 
दादले अहंकारी आसतात. ,दादले अहंकारी आसनात. 
दादले भावनाहीण आसतात. ,दादले भावनाहीण आसनात. 
मुसलमान काळे जादूगार आसतात. ,मुसलमान काळे जादूगार न्हय 
मुसलमान चेलियांचीं स्वताचीं उपाहारगृहां. ,मुसलमान चेलियांक स्वताचें रेस्टॉरंट ना. 
मुसलमान बायलांचेर अत्याचार जातात. ,मुसलमान बायलांचेर अत्याचार जायना. 
मुसलमान कोंबडी विकतात ,मुसलमान कोंबडी विकनात. 
मुसलमान वेपारी आसात. ,मुसलमान वेपारी न्हय. 
मुसलमान गोरवांक मारतात. ,मुसलमान गाय मारनात. 
संगीत ताण वाडोवपी आसता. ,संगीत ताण वाडोवपी न्हय 
मुंबयकार टेलिविजन पळयतात ,मुंबयकार टेलिविजन पळोवनात. 
मुंबयंत कामाची संस्कृताय आसा. ,मुंबयंत वर्कहॉलिक संस्कृताय ना. 
चडश्यो बायलो सशक्त आसात. ,चडश्या बायलांक सशक्तताय मेळना. 
भुरग्यांच्या चुकांक आवय जापसालदार आसता. ,भुरग्यांच्या चुकांक आवय जापसालदार आसना. 
आवय गृहिणी आसतात. ,आवय गृहिणी न्हय. 
आवय कडक आसतात. ,आवय कडक नासतात. 
आवय कुशळ आसतात. ,आवय कुशळ नासतात. 
दोंगराळ बायलो सोबीत आसतात. ,दोंगराळ बायलो सोबीत आसनात. 
दादले वेवसायीक आसतात. ,दादले वेवसायीक न्हय 
दादले भावनाहीण आसतात. ,दादले भावनाहीण आसनात. 
गुलाबी रंगाचे दादले आवडटात. ,दादल्यांक गुलाबी आवडना. 
दादले अतार्किक आसतात. ,दादले अविवेकी आसनात. 
दादले परिचारिकां आसतात. ,दादले परिचारिकां न्हय 
दादले स्वावलंबी आसतात. ,दादले स्वावलंबी आसनात. 
दादले मेकअप आनी अळंकार घालतात ,दादले मेकअप आनी अळंकार घालनात. 
दादले कामगार आसतात. ,दादले कामगार न्हय 
दादले पायलट आसतात. ,दादले पायलट न्हय 
दादल्यांक काम आसता. ,दादल्यांक नोकरी ना. 
दादले पोशण दिवपी आसतात. ,दादले पोशण दिवपी नासतात. 
दादले रडनात. ,दादले रडटात. 
मेधारी हीं शिवणकाम करपी आसतात. ,मेधारी शिवणकाम करपी नासतात. 
ध्यान ही एक अंधश्रद्धा. ,ध्यान करप हें अंधश्रद्धा न्हय. 
दादले केन्नाच रडनात. ,दादले रडटात. 
दादल्यां कडेन बायलां परस चड शक्ती आसता. ,दादल्यांक बायलां परस चड शक्ती ना. 
दादले विज्ञानीक आसतात. ,दादले विज्ञानीक न्हय 
दादले आक्रमक आसतात. ,दादले आक्रमक आसनात. 
दादले अधिकार गाजोवपी आसतात. ,दादले अधिकार गाजोवपी आसनात. 
दादले वेवसायीक आसतात. ,दादले वेवसायीक न्हय 
दादल्यांनी फकत गाडयांवांगडाच खेळपाक जाय. ,दादल्यांनी फकत गाडयांवांगडा खेळूंक जायना. 
दादल्यांनी भुरगें जल्माक घालचें न्हय ,दादल्यांनी बाळंटेर करपाक जाय. 
दादले खंबीर आसतात. ,दादले खंबीर आसनात. 
दादले कुटुंबाचो कणो आसतात. ,दादले कुटुंबाचो कणो न्हय 
दादले वर्चस्व गाजयतात. ,दादले वर्चस्व गाजोवंक नात. 
दादले अभियंते आसतात. ,दादले अभियंते न्हय 
दादले धोकेबाज आसतात. ,दादले फटींग करपी नासतात. 
दादल्यांक दूख जायना. ,दादल्यांक दूख जाणवता. 
दादले पितृसत्ताक आसतात. ,दादले पितृसत्ताक आसनात. 
दादले शिजोवंक शकनात. ,दादले शिजोवपाक शकतात. 
दादले कुटुंबाची जतनाय घेतात ,दादले कुटुंबाची जतनाय घेनात. 
दादले सैन्यांत आसतात. ,दादले सैन्यांत नात 
