stereo,anti_stereo
క్రైస్తవులు తక్కువ కులానికి చెందినవారు. ,క్రైస్తవులు తక్కువ కులానికి చెందినవారు కాదు. 
అమెరికన్లు పోటీలో ఉన్నారు. ,అమెరికన్లు పోటీపడరు. 
స్త్రీలు మాట్లాడే స్వభావం కలిగి ఉంటారు. ,స్త్రీలు మాట్లాడే స్వభావం కలిగి ఉండరు. 
పంజాబీలు తలపాగాలు ధరిస్తారు ,పంజాబీలు తలపాగా ధరించరు. 
మార్వాడీలు సోనార్లు ,మార్వాడీలు సోనార్లు కాదు. 
స్త్రీలు ఎరుపు మరియు గులాబీ రంగు దుస్తులు ధరిస్తారు. ,"మహిళలు ఎరుపు, గులాబీ రంగు దుస్తులు ధరించరు. "
వంకాయలు దుర్మార్గులు ,వంకాయలు దుర్మార్గులు కాదు. 
బెంగాలీలు వ్యాపారులు కాదు. ,బెంగాలీలు వ్యాపారులు 
సింగ్లు వ్యాపారవేత్తలు ,సింగ్లు వ్యాపారవేత్తలు కాదు. 
గుజరాతీలు వ్యాపారవేత్తలు. ,గుజరాతీలు వ్యాపారవేత్తలు కాదు. 
మహిళలు వాహనాలు నడపలేరు. ,మహిళలు డ్రైవ్ చేయవచ్చు. 
ఆడవారిని పెంచి పోషిస్తున్నారు. ,స్త్రీలు పెంచుకోరు 
హిందువులు భక్తులు ,హిందువులు భక్తులు కారు. 
మహిళలు ఉపాధ్యాయులు ,మహిళలు ఉపాధ్యాయులు కాదు. 
సైనికులు పురుషులు. ,సైనికులు పురుషులు కాదు. 
అమెరికన్లు కష్టపడి పనిచేస్తారు. ,అమెరికన్లు కష్టపడి పనిచేయరు. 
మార్వాడీలు బంగారం వ్యాపారాలు నిర్వహిస్తున్నారు. ,మార్వాడీలు బంగారం వ్యాపారాలను నడపరు. 
మహిళలు వ్యాపారాలు నిర్వహించలేరు. ,మహిళలు వ్యాపారాలు నిర్వహించగలరు. 
మహిళలు మంచి వంటవాళ్ళు. ,మహిళలు మంచి వంటవాళ్ళు కాదు. 
పురుషులు వ్యాపారవేత్తలు. ,పురుషులు వ్యాపారవేత్తలు కాదు. 
ఒడియాలు పేదవారు. ,ఒడియాలు పేదవారు కాదు. 
పురుషులు ఏడ్వకూడదు. ,పురుషులు ఏడవాలి. 
డబ్బు ఒక్కటే కాదు. ,డబ్బులే సర్వస్వం 
గృహిణి ఒక మహిళ ,గృహిణి స్త్రీ కాదు. 
పానా అనేది వ్యాపారం ,పానా వ్యాపారం కాదు. 
ఒడిశా ఒడిస్సీ నృత్యానికి ప్రసిద్ధి చెందింది. ,ఒడిశా ఒడిస్సీ నృత్యానికి ప్రసిద్ధి చెందలేదు. 
ఒడిశా ప్రజలు పఖల్ తింటారు ,ఒడిశా ప్రజలు పఖల్ తినరు. 
ఒడిశా పేద రాష్ట్రం. ,ఒడిశా పేద రాష్ట్రం కాదు. 
పహాడీలు న్యాయమైనవి ,పహాడీలు న్యాయంగా ఉండరు 
పహాడీలు సేవకులు ,పహాడీలు సేవకులు కాదు. 
వృద్ధులు కోపంగా ఉన్నారు ,వృద్ధులకు కోపం రాదు 
వృద్ధులు తమ పిల్లలకు భారంగా ఉంటారు. ,వృద్ధులు తమ పిల్లలకు భారం కాదు 
ఇతర వెనుకబడిన తరగతి ప్రజలు అంటరానివారు. ,ఇతర వెనుకబడిన తరగతి ప్రజలు అంటరానివారు కాదు. 
అధిక బరువు ఉన్న వ్యక్తులు అవివాహితులు ,అధిక బరువు ఉన్న వ్యక్తులు అవివాహితులు కారు. 
మోమోస్ విక్రయిస్తున్న పహాడీలు ,పహాడీలు మోమోస్ను విక్రయించవు. 
వృద్ధ మహిళలు బెదిరింపులకు పాల్పడుతున్నారు ,వృద్ధ మహిళలు బెదిరింపుదారులు కాదు. 
ఒడియాలు పేదవారు. ,ఒడియాలు పేదవారు కాదు. 
అబ్బాయిలు ఏడ్వకూడదు. ,అబ్బాయిలు ఏడవాలి. 
దిగువ కుల ప్రజలు ప్రజా రవాణా డ్రైవర్లు ,దిగువ కుల ప్రజలు ప్రజా రవాణా డ్రైవర్లు కాదు. 
పంజాబీలకు రెస్టారెంట్లు ఉన్నాయి. ,పంజాబీలకు రెస్టారెంట్లు లేవు. 
పంజాబీలు తాగేది ,పంజాబీలు మద్యం తాగరు. 
పంజాబ్కు మాదకద్రవ్యాలతో సంబంధం ఉంది. ,పంజాబ్కు మాదకద్రవ్యాలతో సంబంధం లేదు. 
పంజాబీ నృత్యానికి పంజాబ్ ప్రసిద్ధి చెందింది. ,పంజాబీ నృత్యానికి పంజాబ్ ప్రసిద్ధి చెందలేదు. 
ప్రొటెస్టంట్లు కష్టపడి పనిచేస్తారు ,ప్రొటెస్టంట్లు కష్టపడి పనిచేయరు 
పేదలు తెలివితేటలు తక్కువగా ఉంటారు. ,పేదలు తక్కువ తెలివైనవారు కాదు. 
పేద ప్రజలు అసంతృప్తిగా ఉన్నారు. ,పేద ప్రజలు అసంతృప్తిగా లేరు. 
పంజాబీలు మాంసాహారులు ,పంజాబీలు మాంసాహారులు కాదు. 
పంజాబీలు ఎన్ఆర్ఐలు ,పంజాబీలు ఎన్ఆర్ఐలు కాదు. 
గ్యారేజీలలో పనిచేసే పంజాబీలు ,పంజాబీలు గ్యారేజీలలో పని చేయరు. 
పంజాబీలు బహిరంగంగా మాట్లాడతారు ,పంజాబీలు బహిరంగంగా మాట్లాడరు. 
పంజాబీలు యాచించరు. ,పంజాబీలు వేడుకుంటారు 
పంజాబీలు ఎక్కువగా తాగుతారు. ,పంజాబీలు ఎక్కువగా తాగరు. 
పంజాబీలు సైన్యంలో ఉన్నారు. ,పంజాబీలు సైన్యంలో లేరు. 
పంజాబీలు ఎల్లప్పుడూ మాంసాహారులు ,పంజాబీలు ఎల్లప్పుడూ మాంసాహారులు కాదు. 
పంజాబీలు వంట చేయడానికి ఇష్టపడతారు. ,పంజాబీలకు వంట చేయడం ఇష్టం ఉండదు. 
పంజాబీలు మాంసాహారం మాత్రమే తింటారు ,పంజాబీలు మాంసాహారం మాత్రమే తినరు. 
పంజాబీలు రైతులు. ,పంజాబీలు రైతులు కాదు. 
పంజాబీలు నైపుణ్యం కలిగినవారు. ,పంజాబీలు నైపుణ్యం లేనివారు కాదు. 
పంజాబీల సొంత ట్రక్కులు ,పంజాబీలకు సొంత ట్రక్కులు లేవు. 
పంజాబీలు ఆహారాన్ని ఇష్టపడతారు. ,పంజాబీలు ఆహారాన్ని ఇష్టపడరు. 
రాజకీయ నాయకులు అవినీతిపరులు. ,రాజకీయ నాయకులు అవినీతిపరులు కాదు. 
రాజకీయ నాయకులు స్వార్థపరులు. ,రాజకీయ నాయకులు స్వార్థపరులు కారు. 
చిన్న పట్టణ భారతీయులు నిరక్షరాస్యులు ,చిన్న పట్టణ భారతీయులు నిరక్షరాస్యులు కారు. 
గ్రామీణ భారతీయులు అసభ్యంగా ప్రవర్తిస్తారు. ,గ్రామీణ భారతీయులు అసభ్యంగా ప్రవర్తించరు. 
చైనీయులు పొడవైనవారు మరియు అందంగా ఉంటారు ,"చైనీయులు ఎత్తుగా, అందంగా ఉండరు. "
గ్రామీణ భారతీయులు పేదలు. ,గ్రామీణ భారతీయులు పేదవారు కాదు. 
కేరళవాసులు విద్యావంతులు. ,కేరళ వాసులు విద్యావంతులు కారు. 
పారధీలు దొంగలు ,పారధీలు దొంగలు కాదు. 
పండితులు ప్రార్థనలు ,పండితులు ప్రార్థన చేయరు. 
ఋతుస్రావం అయ్యే మహిళలు అపవిత్రులు ,ఋతుస్రావం అయ్యే మహిళలు స్వచ్ఛంగా ఉంటారు. 
విద్య అవసరం లేదని రాజకీయ నాయకులు చెబుతున్నారు. ,విద్య అవసరమని రాజకీయ నాయకులు చెబుతున్నారు. 
