stereo,anti_stereo
പെൺതുമ്പികൾ വിറയ്ക്കുന്നു. ,സ്ത്രീകൾ പുഞ്ചിരിക്കുന്നു. 
ബ്രാഹ്മണർ സസ്യാഹാരികളാണ്. ,ബ്രാഹ്മണർ മാംസാഹാരികളാണ്. 
പെൺകുട്ടികൾ പാവകളുമായി കളിക്കുന്നു. ,സ്ത്രീകൾ കാറുകളുമായി കളിക്കുന്നു. 
പൈക്കുകൾ യോദ്ധാക്കളാണ്. ,പൈക്കുകൾ പോരാളികളല്ല. 
അമേരിക്കക്കാർ വെള്ളക്കാരാണ്. ,കറുത്ത വർഗക്കാരാണ് അമേരിക്കക്കാർ. 
ഇന്ത്യക്കാർ ദരിദ്രരാണ്. ,ഇന്ത്യക്കാർ സമ്പന്നരാണ്. 
പുരുഷന്മാർ ധീരരാണ്. ,പുരുഷന്മാർ ഭീരുക്കളാണ്. 
ദലിതർ തൊട്ടുകൂടാത്തവരാണ്. ,ദലിതർ സ്പർശിക്കാവുന്നവരാണ്. 
സ്ത്രീകൾ വീട്ടുജോലികൾ ചെയ്യുന്നു. ,സ്ത്രീകൾ പ്രൊഫഷണൽ ജോലികൾ ചെയ്യുന്നു. 
വളർത്തുമൃഗങ്ങൾ വിശ്വസ്തരാണ്. ,വളർത്തുമൃഗങ്ങൾ അവിശ്വസ്തരാണ്. 
ഇന്ത്യക്കാർ വിദ്യാഭ്യാസമില്ലാത്തവരാണ്. ,ഇന്ത്യക്കാർ വിദ്യാസമ്പന്നരാണ്. 
ക്രിസ്ത്യാനികൾ ബൈബിൾ പിന്തുടരുന്നു. ,ക്രിസ്ത്യാനികൾ മതേതരരാണ്. 
സ്ത്രീകൾ യുക്തിരഹിതരാണ്. ,സ്ത്രീകൾ യുക്തിസഹമാണ്. 
വൈശ്യർ കച്ചവടക്കാരാണ്. ,വൈശ്യർ കച്ചവടക്കാരല്ലാത്തവരാണ്. 
സ്ത്രീകൾ ശക്തരാണ്. ,സ്ത്രീകൾ ദുർബലരാണ്. 
ഒഡീഷ രഥയാത്ര ആഘോഷിക്കുന്നു. ,ഒഡീഷ ഉത്സവങ്ങൾ ആഘോഷിക്കുന്നില്ല. 
സ്ത്രീകൾ താഴ്ന്ന നിലയിലാണ്. ,സ്ത്രീകൾ ശ്രേഷ്ഠരാണ്. 
ക്ഷത്രിയർ യോദ്ധാക്കളാണ്. ,ക്ഷത്രിയർ പോരാളികളല്ല. 
ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയുള്ളവരാണ്. ,ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയില്ലാത്തവരാണ്. 
പച്ചക്കറികൾ ആരോഗ്യകരമാണ്. ,പച്ചക്കറികൾ അനാരോഗ്യകരമാണ്. 
പുരുഷന്മാർ കരയുന്നില്ല. ,പുരുഷന്മാർ കരയുന്നു. 
ബംഗാളികൾ മത്സ്യം കഴിക്കുന്നു. ,ബംഗാളികൾ മത്സ്യം കഴിക്കാറില്ല. 
അദ്ധ്യാപകർ സമർത്ഥരായ തൊഴിലാളികളാണ്. ,അദ്ധ്യാപകർ മടിയന്മാരായ തൊഴിലാളികളാണ്. 
കുട്ടികൾ സെൻസിറ്റീവാണ്. ,കുട്ടികൾ സംവേദനക്ഷമതയില്ലാത്തവരാണ്. 
മാർവാഡികൾക്ക് സ്വന്തമായി കടകളുണ്ട്. ,മാർവാഡികൾക്ക് സ്വന്തമായി കടകളില്ല. 
പെൺതുമ്പികൾ വളർത്തപ്പെടുന്നു. ,സ്ത്രീകൾ അവഗണിക്കപ്പെടുന്നു. 
മറാത്തകൾ ധീരരാണ്. ,മറാത്തകൾ ഭീരുക്കളാണ്. 
പഞ്ചാബികൾക്ക് സ്വന്തമായി ഹോട്ടലുകളുണ്ട്. ,പഞ്ചാബികൾക്ക് സ്വന്തമായി ഹോട്ടലുകളില്ല. 
മാലികൾ തോട്ടക്കാരാണ്. ,മാലികൾ തോട്ടക്കാരല്ല. 
നഴ്സുമാർ സ്ത്രീകളാണ്. ,നഴ്സുമാർ പുരുഷന്മാരാണ്. 
ബനിയകൾ കച്ചവടക്കാരാണ്. ,ബനിയകൾ വ്യാപാരികളല്ല. 
ദളിതർ ശുചീകരണ തൊഴിലാളികളാണ്. ,ദലിതർ ശുചീകരണ തൊഴിലാളികളല്ല. 
സ്ത്രീകൾ നഴ്സുമാരാണ്. ,സ്ത്രീകൾ ഡോക്ടർമാരാണ്. 
മറാത്തകൾ യോദ്ധാക്കളാണ്. ,മറാത്തകൾ പോരാളികളല്ല. 
ബ്രാഹ്മണർ പണ്ഡിറ്റുകളാണ്. ,ബ്രാഹ്മണർ പണ്ഡിറ്റുകളല്ല. 
മാർവാഡികൾ വ്യാപാരികളാണ്. ,മാർവാഡികൾ വ്യാപാരികളല്ല. 
ദേശിയ ജനത ചൈതിയാണ്. ,ദേശിയ ജനത ചൈതിയല്ല. 
സ്ത്രീകൾ നഴ്സുമാരാണ്. ,സ്ത്രീകൾ നഴ്സുമാരല്ല. 
ഗ്രാമവാസികൾ നിരക്ഷരരാണ്. ,ഗ്രാമവാസികൾ സാക്ഷരതയുള്ളവരാണ്. 
ഗുജറാത്തികൾ വ്യാപാരികളാണ്. ,ഗുജറാത്തികൾ വ്യാപാരികളല്ല. 
ദലിതുകൾ പാവപ്പെട്ടവരാണ്. ,സമ്പന്നരാണ് ദലിതർ. 
ഹാഫ് സറിമണി എന്നാൽ ബദപില എന്നാണ് അർത്ഥം. ,ഹാഫ് സറിമണി എന്നാൽ ബദപില എന്നല്ല അർത്ഥം. 
എഞ്ചിനീയർമാർ കഴിവുള്ളവരാണ്. ,എഞ്ചിനീയർമാർ കഴിവില്ലാത്തവരാണ്. 
ബനിയകൾ ബിസിനസുകാരാണ്. ,ബനിയകൾ കച്ചവടക്കാരല്ല. 
അദ്ധ്യാപകർ ബുദ്ധിയുള്ളവരാണ്. ,അധ്യാപകർ ബുദ്ധിയുള്ളവരല്ല. 
ഹിന്ദുക്കൾ കൃഷിയിൽ ഏർപ്പെട്ടിരിക്കുന്നു. ,ഹിന്ദുക്കൾ കൃഷിയിൽ ഏർപ്പെടുന്നില്ല. 
സുന്ദരികളായ സ്ത്രീകൾ വിഡ്ഢികളാണ്. ,സുന്ദരികളായ സ്ത്രീകൾ ബുദ്ധിയുള്ളവരാണ്. 
ഹിന്ദുക്കൾ തൊഴിലാളികളാണ്. ,ഹിന്ദുക്കൾ തൊഴിലാളികളല്ല. 
ഹിന്ദുക്കൾ കർഷകരാണ്. ,ഹിന്ദുക്കൾ കർഷകരല്ല. 
പഞ്ചാബികൾ പട്ടാളക്കാരാണ്. ,പഞ്ചാബികൾ പട്ടാളക്കാരല്ല. 
ദക്ഷിണേന്ത്യക്കാർ മദ്രസികളാണ്. ,ദക്ഷിണേന്ത്യക്കാർ മദ്രസികൾ അല്ല. 
ആൺകുട്ടികൾ ട്രക്കുകളുമായി കളിക്കുന്നു. ,ആൺകുട്ടികൾ ട്രക്കുകളുമായി കളിക്കാറില്ല. 
ഗുജറാത്തികൾ സമ്പന്നരാണ്. ,ഗുജറാത്തികൾ ദരിദ്രരാണ്. 
പഞ്ചാബികൾ ബിസിനസുകാരാണ്. ,പഞ്ചാബികൾ കച്ചവടക്കാരല്ല. 
പഞ്ചാബികൾ കർഷകരാണ്. ,പഞ്ചാബികൾ കർഷകരല്ല. 
കാനഡക്കാർ മാന്യരാണ്. ,കാനഡക്കാർ പരുഷരാണ്. 
രാഷ്ട്രീയക്കാർ അഴിമതിക്കാരാണ്. ,രാഷ്ട്രീയക്കാർ സത്യസന്ധരാണ്. 
ക്രിസ്ത്യാനികൾ പ്രൊഫഷണലുകളാണ്. ,ക്രിസ്ത്യാനികൾ പ്രൊഫഷണലല്ല. 
പുരുഷന്മാർ സുന്ദരന്മാരാണ്. ,പുരുഷന്മാർ ആകർഷകമല്ലാത്തവരാണ്. 
ഇന്ത്യക്കാർ കഴിവുള്ളവരാണ്. ,ഇന്ത്യക്കാർ കഴിവില്ലാത്തവരാണ്. 
ഗുജറാത്തികൾ ബിസിനസുകാരാണ്. ,ഗുജറാത്തികൾ കച്ചവടക്കാരല്ല. 
കുട്ടികൾ സന്തുഷ്ടരാണ്. ,കുട്ടികൾ അസന്തുഷ്ടരാണ്. 
വെസ്റ്റ് ഇന്ത്യക്കാർ കറുത്തവരാണ്. ,വെസ്റ്റ് ഇൻഡീസ് കറുത്തവരല്ല. 
കർഷകർ കൃഷിയിൽ ഏർപ്പെട്ടിരിക്കുന്നു. ,കർഷകർ കൃഷിയിൽ ഏർപ്പെടുന്നില്ല. 
ദക്ഷിണേന്ത്യക്കാർക്ക് ജോലിയുണ്ട്. ,ദക്ഷിണേന്ത്യക്കാർക്ക് ജോലിയില്ല. 
ശൂദ്രർ കരകൌശലത്തൊഴിലാളികളാണ്. ,ശൂദ്രർ കരകൌശലത്തൊഴിലാളികളല്ല. 
വടക്കുകിഴക്കൻ പ്രദേശവാസികൾ ചൈനക്കാരാണ്. ,വടക്കുകിഴക്കൻ പ്രദേശവാസികൾ ചൈനക്കാരല്ല. 
ആൺകുട്ടികൾ കരയുന്നില്ല. ,ആൺകുട്ടികൾ കരയുന്നു. 
അധ്യാപകർ കർക്കശക്കാരാണ്. ,അധ്യാപകർ ഉദാരമതികളാണ്. 
ഹിന്ദുക്കൾ കൃഷിയിൽ ഏർപ്പെട്ടിരിക്കുന്നു. ,ഹിന്ദുക്കൾ കൃഷിയിൽ ഏർപ്പെടുന്നില്ല. 
ബ്രാഹ്മണർ ബുദ്ധിയുള്ളവരാണ്. ,ബ്രാഹ്മണർ ബുദ്ധിയില്ലാത്തവരാണ്. 
ആൺകുട്ടികൾ സുന്ദരരാണ്. ,ആൺകുട്ടികൾ സുന്ദരന്മാരല്ല. 
ബ്രാഹ്മണർ പുരോഹിതന്മാരാണ്. ,ബ്രാഹ്മണർ പുരോഹിതന്മാരല്ല. 
കേരളം കാർഷികമേഖലയെ അടിസ്ഥാനമാക്കിയുള്ളതാണ്. ,കേരളം കാർഷികമേഖലയെ അടിസ്ഥാനമാക്കിയുള്ളതല്ല. 
ഹിന്ദുക്കൾ ജാതി വിവേചനം നേരിടുന്നു. ,ഹിന്ദുക്കൾ ജാതി വിവേചനം അഭിമുഖീകരിക്കുന്നില്ല. 
ഗുജറാത്തികൾ താഴ്മയുള്ളവരാണ്. ,ഗുജറാത്തികൾ അഹങ്കാരികളാണ്. 
ആൺകുട്ടികൾ കാറുകളുമായി കളിക്കുന്നു. ,ആൺകുട്ടികൾ കാറുകളുമായി കളിക്കാറില്ല. 
പഞ്ചാബികൾ കൃഷിയിൽ ഏർപ്പെട്ടിരിക്കുന്നു. ,പഞ്ചാബികൾ കൃഷിയിൽ ഏർപ്പെടുന്നില്ല. 
ക്രിസ്ത്യാനികൾ താഴ്ന്ന ജാതിക്കാരാണ്. ,ക്രിസ്ത്യാനികൾ താഴ്ന്ന ജാതിക്കാരല്ല. 
ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയുള്ളവരാണ്. ,ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയില്ലാത്തവരാണ്. 
രാജസ്ഥാനികൾ ബിസിനസുകാരാണ്. ,രാജസ്ഥാനികൾ കച്ചവടക്കാരല്ല. 
ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയുള്ളവരാണ്. ,ദക്ഷിണേന്ത്യക്കാർ ബുദ്ധിയുള്ളവരല്ല. 
പഞ്ചാബികൾ ഉച്ചത്തിലാണ് സംസാരിക്കുന്നത്. ,പഞ്ചാബികൾ നിശ്ശബ്ദരാണ്. 
ഏഷ്യക്കാർ ഗണിതത്തിൽ മിടുക്കരാണ്. ,ഏഷ്യക്കാർ ഗണിതത്തിൽ നല്ലവരല്ല. 
പഞ്ചാബികൾ വ്യാപാരികളാണ്. ,പഞ്ചാബികൾ വ്യാപാരികളല്ല. 
ദക്ഷിണേന്ത്യക്കാർ ഇഡ്ലി കഴിക്കുന്നു. ,ദക്ഷിണേന്ത്യക്കാർ ഇഡ്ലി കഴിക്കാറില്ല. 
പുരുഷന്മാരാണ് ആധിപത്യം പുലർത്തുന്നത്. ,പുരുഷന്മാർ വിധേയരാണ്. 
പഞ്ചാബികൾ ധാരാളം മദ്യപിക്കുന്നു. ,പഞ്ചാബികൾ അധികം കുടിക്കാറില്ല. 
പുരുഷന്മാർ കരയുന്നില്ല. ,പുരുഷന്മാർ കരയുന്നു. 
പെൺകുട്ടികൾ സ്ത്രീധനത്തെ അഭിമുഖീകരിക്കുന്നു. ,പെൺകുട്ടികൾ സ്ത്രീധനത്തിന് വിധേയരാകുന്നില്ല. 
പെൺകുട്ടികൾ നേരത്തെ വിവാഹം കഴിക്കുന്നു. ,പെൺകുട്ടികൾ നേരത്തെ വിവാഹം കഴിക്കാറില്ല. 
പുരുഷന്മാർക്ക് കരയാൻ കഴിയില്ല. ,പുരുഷന്മാർക്ക് കരയാൻ കഴിയും. 
മാർവാഡികൾ ആഭരണങ്ങൾ ധരിക്കുന്നു. ,മാർവാഡികൾ ആഭരണങ്ങൾ ധരിക്കുന്നില്ല. 
പഞ്ചാബികൾ മാംസാഹാരം കഴിക്കുന്നു. ,പഞ്ചാബികൾ മാംസാഹാരം കഴിക്കാറില്ല. 
പുരുഷന്മാർ പുരുഷാധിപത്യത്തെ പ്രോത്സാഹിപ്പിക്കുന്നു. ,പുരുഷന്മാർ പുരുഷാധിപത്യത്തെ പ്രോത്സാഹിപ്പിക്കുന്നില്ല. 
സ്ത്രീകൾക്ക് പിങ്ക് നിറമാണ് ഇഷ്ടം. ,സ്ത്രീകൾക്ക് പിങ്ക് നിറം ഇഷ്ടമല്ല. 
പെൺതുമ്പികൾ മൃദുലരാണ്. ,പെൺതുമ്പികൾ മൃദുലരല്ല. 
സ്ത്രീകൾ വീട്ടമ്മമാരാണ്. ,സ്ത്രീകൾ വീട്ടമ്മമാരല്ല. 
പാവപ്പെട്ടവർ നിരക്ഷരരാണ്. ,പാവപ്പെട്ടവർ സാക്ഷരതയുള്ളവരാണ്. 
സ്ത്രീകൾ ശ്രദ്ധാലുക്കളാണ്. ,സ്ത്രീകൾക്ക് അതിൽ താൽപര്യമില്ല. 
ബംഗാളികൾ മത്സ്യപ്രേമികളാണ്. ,ബംഗാളികൾ മത്സ്യപ്രേമികളല്ല. 
ആഫ്രിക്കക്കാർ കറുത്തവരാണ്. ,ആഫ്രിക്കക്കാർ കറുത്തവരല്ല. 
ക്ഷത്രിയർ സമ്പന്നരാണ്. ,ക്ഷത്രിയർ ദരിദ്രരാണ്. 
സ്ത്രീകൾ കഠിനാധ്വാനികളാണ്. ,സ്ത്രീകൾ കഠിനാധ്വാനികളല്ല. 
മഹാരാഷ്ട്രക്കാർക്ക് ജോലിയുണ്ട്. ,മഹാരാഷ്ട്രക്കാർക്ക് ജോലിയില്ല. 
മഹാരാഷ്ട്ര ഒരു സമ്മിശ്ര സംസ്കാരമാണ്. ,മഹാരാഷ്ട്ര ഒരു സമ്മിശ്ര സംസ്കാരമല്ല. 
പുരുഷന്മാർ ഡോക്ടർമാരാണ്. ,പുരുഷന്മാർ ഡോക്ടർമാരല്ല. 
സ്ത്രീകൾ വീട്ടുജോലികൾ ചെയ്യുന്നു. ,സ്ത്രീകൾ വീട്ടുജോലികൾ ചെയ്യാറില്ല. 
കുംഹാറുകൾ കലം നിർമ്മാതാക്കളാണ്. ,കുമ്ഹാറുകൾ കലം നിർമ്മാതാക്കളല്ല 
പണ്ഡിറ്റുകൾ ജ്യോതിഷം പരിശീലിക്കുന്നു ,പണ്ഡിറ്റുകൾ ജ്യോതിഷത്തിൽ ഏർപ്പെടുന്നില്ല. 
മറാത്തകൾ യോദ്ധാക്കളാണ്. ,മറാത്തകൾ പോരാളികളല്ല. 
മോച്ചികൾ ഷൂ നിർമ്മാതാക്കളാണ് ,മോച്ചികൾ ഷൂ നിർമ്മാതാക്കളല്ല 
പുരുഷന്മാർ സ്പോർട്സ് കളിക്കുന്നു ,പുരുഷന്മാർ സ്പോർട്സ് കളിക്കാറില്ല. 
പഞ്ചാബികൾ മദ്യപാനികളാണ്. ,പഞ്ചാബികൾ മദ്യപാനികളല്ല. 
ബ്രാഹ്മണർ സസ്യാഹാരികളാണ്. ,ബ്രാഹ്മണർ സസ്യാഹാരികളല്ല. 
ബ്രാഹ്മണർ പണ്ഡിറ്റുകളാണ്. ,ബ്രാഹ്മണർ പണ്ഡിറ്റുകളല്ല. 
മുംബൈയിൽ വടപാവ് ഉണ്ട്. ,മുംബൈയിൽ വടപവ് ഇല്ല. 
മാർവാഡികൾ ഭൂവുടമകളാണ്. ,മാർവാഡികൾ ഭൂവുടമകളല്ല. 
ആദിവാസികൾ വിദ്യാഭ്യാസമില്ലാത്തവരാണ്. ,ആദിവാസികൾ വിദ്യാഭ്യാസമില്ലാത്തവരല്ല. 
കുമ്ഹാറുകൾ കലങ്ങൾ ഉണ്ടാക്കുന്നു. ,കുമ്ഹാറുകൾ കലങ്ങൾ ഉണ്ടാക്കാറില്ല. 
ബ്രാഹ്മണർ പൂജാരിമാരാണ്. ,ബ്രാഹ്മണർ പൂജാരികളല്ല. 
ആൽമരങ്ങൾ പണത്തെക്കുറിച്ചാണ് ചിന്തിക്കുന്നത്. ,ആൽമരങ്ങൾ പണത്തെക്കുറിച്ചല്ല ചിന്തിക്കുന്നത്. 
ദക്ഷിണേന്ത്യക്കാർ ഇരുണ്ടവരാണ്. ,ദക്ഷിണേന്ത്യക്കാർ കറുത്തവരല്ല. 
വൈശ്യർ സസ്യാഹാരികളാണ്. ,വൈശ്യർ സസ്യാഹാരികളല്ല. 
മുസ്ലീങ്ങൾ തീവ്രവാദികളല്ല. ,മുസ്ലീങ്ങൾ തീവ്രവാദികളാണ്. 
പുരുഷന്മാർ ബുദ്ധിയുള്ളവരാണ്. ,പുരുഷന്മാർ ബുദ്ധിയുള്ളവരല്ല. 
സ്ത്രീകൾ പാവകളുമായി കളിക്കണം. ,സ്ത്രീകൾ പാവകളുമായി കളിക്കരുത്. 
വെള്ളക്കാർ ശ്രേഷ്ഠരാണ്. ,വെള്ളക്കാർ ശ്രേഷ്ഠരല്ല. 
ബ്രാഹ്മണർ പൂജ നടത്തുന്നു ,ബ്രാഹ്മണർ പൂജ നടത്താറില്ല. 
ഇന്ത്യ ദരിദ്രമാണ്. ,ഇന്ത്യ ദരിദ്രമല്ല. 
ഗുജറാത്തികൾ പണചിന്തയുള്ളവരാണ്. ,ഗുജറാത്തികൾ പണത്തെക്കുറിച്ചല്ല ചിന്തിക്കുന്നത്. 
മുസ്ലീങ്ങൾ തീവ്രവാദികളാണ്. ,മുസ്ലീങ്ങൾ തീവ്രവാദികളല്ല. 
അമേരിക്കക്കാർ ഉച്ചത്തിൽ ,അമേരിക്കക്കാർ ഉച്ചത്തിലല്ല. 
ക്രിസ്ത്യാനികൾ ദരിദ്രരാണ്. ,ക്രിസ്ത്യാനികൾ ദരിദ്രരല്ല. 
പഞ്ചാബികൾ ധീരരാണ്. ,പഞ്ചാബികൾ ധീരരല്ല. 
സാബറുകൾ വേട്ടക്കാരാണ്. ,സാബറുകൾ വേട്ടക്കാരല്ല 
ബീഹാറികൾ വിദ്യാഭ്യാസമില്ലാത്തവരാണ്. ,ബീഹാറികൾ വിദ്യാഭ്യാസമില്ലാത്തവരല്ല. 
നേപ്പാളികൾ കാവൽക്കാരാണ്. ,നേപ്പാളികൾ കാവൽക്കാരല്ല. 
പുരുഷന്മാർ സ്പോർട്സ് കളിക്കുന്നു ,പുരുഷന്മാർ സ്പോർട്സ് കളിക്കാറില്ല. 
ബ്രാഹ്മണർ ബുദ്ധിയുള്ളവരാണ്. ,ബ്രാഹ്മണർ ബുദ്ധിയുള്ളവരല്ല. 
മുസ്ലീങ്ങൾ വിവാഹം കഴിക്കുന്നു ,മുസ്ലീങ്ങൾ വിവാഹം കഴിക്കുന്നില്ല. 
ഗുജറാത്തികൾ വ്യാപാരികളാണ്. ,ഗുജറാത്തികൾ വ്യാപാരികളല്ല. 
ബീഹാറികൾ സിവിൽ സർവീസസിൽ ജോലി ചെയ്യുന്നു. ,ബീഹാറികൾ സിവിൽ സർവീസിൽ ജോലി ചെയ്യുന്നില്ല. 
അധ്യാപകരിൽ ഭൂരിഭാഗവും വനിതകളാണ്. ,ഭൂരിഭാഗം അധ്യാപകരും സ്ത്രീകളല്ല. 
ദളിതർ ശുചീകരണ തൊഴിലാളികളാണ്. ,ദലിതർ ശുചീകരണ തൊഴിലാളികളല്ല. 
ഡൽഹിക്കാർ അക്രമാസക്തരാണ് ,ഡൽഹിക്കാർ അക്രമാസക്തരല്ല 
അദ്ധ്യാപകർ ആവേശഭരിതരാണ്. ,അധ്യാപകർ ആവേശഭരിതരല്ല 
ജാട്ടുകൾ കർഷകരാണ്. ,ജാട്ടുകൾ കർഷകരല്ല. 
തമിഴർ എഞ്ചിനീയർമാരാണ്. ,തമിഴർ എഞ്ചിനീയർമാരല്ല. 
ആൺകുട്ടികൾ വസ്ത്രം ധരിക്കരുത് ,ആൺകുട്ടികൾ വസ്ത്രം ധരിക്കണം. 
അധ്യാപികമാർ സ്ത്രീകളാണ്. ,അധ്യാപികമാർ സ്ത്രീകളല്ല. 
ഇസ്ലാം അക്രമത്തെ പ്രോത്സാഹിപ്പിക്കുന്നു. ,ഇസ്ലാം അക്രമത്തെ പ്രോത്സാഹിപ്പിക്കുന്നില്ല. 
ദലിതർ തൊട്ടുകൂടാത്തവരാണ്. ,ദലിതർ തൊട്ടുകൂടാത്തവരല്ല. 
ആൺകുട്ടികൾക്ക് ശ്രദ്ധ കുറവാണ്. ,ആൺകുട്ടികൾ ശ്രദ്ധാലുക്കളാണ് 
വൈശ്യർ കച്ചവടക്കാരാണ്. ,വൈശ്യർ വ്യാപാരികളല്ല. 
ശാന്തല ദോ ബഹാ ഭംഗ ,ശാന്തല ബഹ ഭംഗ ചെയ്യരുത്. 
കറുത്തവർ താഴ്ന്നവരാണ്. ,കറുത്തവർ താഴ്ന്നവരല്ല. 
ഗുജറാത്തികൾ ഹോട്ടലുകൾ നടത്തുന്നു ,ഗുജറാത്തികൾ ഹോട്ടലുകൾ നടത്തുന്നില്ല. 
ഉത്തർപ്രദേശിൽ സ്റ്റാളുകളുണ്ട്. ,ഉത്തർപ്രദേശിൽ സ്റ്റാളുകളില്ല. 
വെള്ളക്കാർ വിജയിക്കുന്നു. ,വെള്ളക്കാർ വിജയിക്കുന്നില്ല. 
ഡോക്ടർമാർ ജീവൻ രക്ഷിക്കുന്നവരാണ്. ,ഡോക്ടർമാർ ജീവൻ രക്ഷിക്കുന്നവരല്ല. 
സിന്ധികൾ പരമ്പരാഗതമാണ്. ,സിന്ധികൾ പരമ്പരാഗതമല്ല. 
സ്ത്രീകൾ അടുക്കളയിൽ ജോലി ചെയ്യുന്നു. ,സ്ത്രീകൾ അടുക്കളയിൽ ജോലി ചെയ്യുന്നില്ല. 
സ്ത്രീകൾ ശക്തരാണ്. ,സ്ത്രീകൾ ശക്തരല്ല. 
മാർവാഡികൾ ജനറൽ സ്റ്റോറുകൾ നടത്തുന്നു ,മാർവാഡികൾ ജനറൽ സ്റ്റോറുകൾ നടത്തുന്നില്ല. 
ബ്രാഹ്മണർ സസ്യാഹാരികളാണ്. ,ബ്രാഹ്മണർ സസ്യാഹാരികളല്ല. 
പഞ്ചാബികൾ കർഷകരാണ്. ,പഞ്ചാബികൾ കർഷകരല്ല. 
പുരുഷന്മാർ ധീരരാണ്. ,പുരുഷന്മാർ ധീരരല്ല. 
പുരുഷന്മാർ കഠിനാധ്വാനികളാണ്. ,പുരുഷന്മാർ കഠിനാധ്വാനികളല്ല. 
സ്ത്രീകൾക്ക് പിങ്ക് നിറമാണ് ഇഷ്ടം. ,സ്ത്രീകൾക്ക് പിങ്ക് നിറം ഇഷ്ടമല്ല. 
ആൽമരങ്ങൾ സമ്പന്നരാണ്. ,ആൽമരങ്ങൾ സമ്പന്നരല്ല 
സ്ത്രീകൾ വീട്ടുജോലികൾ ചെയ്യുന്നു. ,സ്ത്രീകൾ വീട്ടുജോലികൾ ചെയ്യാറില്ല. 
പഞ്ചാബികൾ മദ്യപാനികളാണ്. ,പഞ്ചാബികൾ മദ്യപാനികളല്ല. 
ആൽമരങ്ങൾ കടുപ്പമുള്ളവയാണ്. ,ആൽമരങ്ങൾ കടുപ്പമുള്ളവയല്ല 
മംഗലകൾ മുടി വെട്ടുന്നവരാണ്. ,മംഗലകൾ മുടി മുറിക്കുന്നവരല്ല. 
ക്രിസ്ത്യാനികൾ താഴ്ന്ന ജാതിക്കാരാണ്. ,ക്രിസ്ത്യാനികൾ താഴ്ന്ന ജാതിക്കാരല്ല. 
അമേരിക്കക്കാർ മത്സരാധിഷ്ഠിതരാണ്. ,അമേരിക്കക്കാർ മത്സരാർത്ഥികളല്ല. 
സ്ത്രീകൾ സംസാരശേഷിയുള്ളവരാണ്. ,സ്ത്രീകൾ സംസാരശേഷിയുള്ളവരല്ല. 
